latitude,longitude,elevation,datetime,elapsed_time_seconds,geometry,previous_geometry,distance_since_previous
40.693517,-73.978481,9.3,2023-07-25 12:42:00+00:00,0.0,POINT (990217.3863075811 191944.1231885142),,0.0
40.693528,-73.978561,9.0,2023-07-25 12:42:01+00:00,1.0,POINT (990195.2007040734 191948.12537251253),POINT (990217.3863075811 191944.1231885142),22.543701554011356
40.693536,-73.978639,8.8,2023-07-25 12:42:02+00:00,2.0,POINT (990173.5699897934 191951.03472372424),POINT (990195.2007040734 191948.12537251253),21.82549254287051
40.693545,-73.978712,8.7,2023-07-25 12:42:03+00:00,3.0,POINT (990153.3257305173 191954.30876055665),POINT (990173.5699897934 191951.03472372424),20.507299939706552
40.693541,-73.978776,8.6,2023-07-25 12:42:04+00:00,4.0,POINT (990135.5783929251 191952.84713625888),POINT (990153.3257305173 191954.30876055665),17.807423654161532
40.693546,-73.978839,8.4,2023-07-25 12:42:05+00:00,5.0,POINT (990118.107568797 191954.6645567674),POINT (990135.5783929251 191952.84713625888),17.56509928867517
40.693549,-73.978885,8.4,2023-07-25 12:42:06+00:00,6.0,POINT (990105.3511528373 191955.75446688762),POINT (990118.107568797 191954.6645567674),12.802892337535418
40.693559,-73.978929,8.3,2023-07-25 12:42:07+00:00,7.0,POINT (990093.1487398479 191959.39482310478),POINT (990105.3511528373 191955.75446688762),12.733855510026673
40.693558,-73.978971,8.2,2023-07-25 12:42:08+00:00,8.0,POINT (990081.5019077323 191959.02769487168),POINT (990093.1487398479 191959.39482310478),11.65261693648642
40.693557,-73.979001,8.2,2023-07-25 12:42:09+00:00,9.0,POINT (990073.1827666794 191958.66136971608),POINT (990081.5019077323 191959.02769487168),8.327202530118194
40.693564,-73.979033,8.2,2023-07-25 12:42:10+00:00,10.0,POINT (990064.3083124931 191961.20955008967),POINT (990073.1827666794 191958.66136971608),9.233047185033056
40.693562,-73.979047,8.2,2023-07-25 12:42:11+00:00,11.0,POINT (990060.4261805505 191960.47996228343),POINT (990064.3083124931 191961.20955008967),3.9500945289034632
40.693561,-73.979061,8.1,2023-07-25 12:42:12+00:00,12.0,POINT (990056.5439612861 191960.11470452612),POINT (990060.4261805505 191960.47996228343),3.8993640053416336
40.69356,-73.979075,8.1,2023-07-25 12:42:13+00:00,13.0,POINT (990052.661741909 191959.74944739143),POINT (990056.5439612861 191960.11470452612),3.8993640592148973
